method;K;iterations;repetition;T;score
BTM_S;10;1000;0;5;-12.947033546045208
BTM_S;10;1000;0;10;-55.709245649906066
BTM_S;10;1000;0;15;-129.95782504566893
BTM_S;10;1000;0;20;-233.50687523890247
BTM_S;10;1000;1;5;-12.357857044476422
BTM_S;10;1000;1;10;-52.858705113366135
BTM_S;10;1000;1;15;-129.58777609066092
BTM_S;10;1000;1;20;-258.3875365853548
BTM_S;10;1000;2;5;-13.837875515854194
BTM_S;10;1000;2;10;-51.79214636797216
BTM_S;10;1000;2;15;-112.79575219035978
BTM_S;10;1000;2;20;-221.87956416253945
BTM_S;10;1000;3;5;-13.357555276446542
BTM_S;10;1000;3;10;-52.99941947629643
BTM_S;10;1000;3;15;-115.1336735810579
BTM_S;10;1000;3;20;-206.32886764064824
BTM_S;10;1000;4;5;-14.272143621908063
BTM_S;10;1000;4;10;-58.9998579998458
BTM_S;10;1000;4;15;-131.1393736610272
BTM_S;10;1000;4;20;-251.97350854856373
BTM_S;10;1000;5;5;-11.829756554747487
BTM_S;10;1000;5;10;-54.838573717631185
BTM_S;10;1000;5;15;-132.8993846353945
BTM_S;10;1000;5;20;-236.43501428647696
BTM_S;10;1000;6;5;-10.940886267053397
BTM_S;10;1000;6;10;-53.72233878069572
BTM_S;10;1000;6;15;-128.1266398096749
BTM_S;10;1000;6;20;-225.72129582748124
BTM_S;10;1000;7;5;-11.212837863144035
BTM_S;10;1000;7;10;-45.50144410908833
BTM_S;10;1000;7;15;-96.94135391761513
BTM_S;10;1000;7;20;-184.46441580131454
BTM_S;10;1000;8;5;-12.221384115210721
BTM_S;10;1000;8;10;-50.99226303495374
BTM_S;10;1000;8;15;-129.50265763267583
BTM_S;10;1000;8;20;-237.8495872411526
BTM_S;10;1000;9;5;-11.074332796523338
BTM_S;10;1000;9;10;-52.630147657246276
BTM_S;10;1000;9;15;-120.54045039995108
BTM_S;10;1000;9;20;-225.0525429787299
BTM_S;20;1000;0;5;-10.33220220737715
BTM_S;20;1000;0;10;-49.975647498890446
BTM_S;20;1000;0;15;-116.77469272987116
BTM_S;20;1000;0;20;-201.71216035500453
BTM_S;20;1000;1;5;-9.88990502021621
BTM_S;20;1000;1;10;-45.86729999340089
BTM_S;20;1000;1;15;-108.98230639927617
BTM_S;20;1000;1;20;-202.8907878558636
BTM_S;20;1000;2;5;-11.29716231307571
BTM_S;20;1000;2;10;-47.418242838536955
BTM_S;20;1000;2;15;-106.63818173525071
BTM_S;20;1000;2;20;-190.7720332275471
BTM_S;20;1000;3;5;-11.103820693851027
BTM_S;20;1000;3;10;-48.186082445648005
BTM_S;20;1000;3;15;-112.89861025769119
BTM_S;20;1000;3;20;-204.94069993286857
BTM_S;20;1000;4;5;-10.66868114298386
BTM_S;20;1000;4;10;-53.69212650655659
BTM_S;20;1000;4;15;-122.74193216291712
BTM_S;20;1000;4;20;-212.06198058782934
BTM_S;20;1000;5;5;-9.829263827577128
BTM_S;20;1000;5;10;-48.18408634880671
BTM_S;20;1000;5;15;-110.9860238374074
BTM_S;20;1000;5;20;-213.01925753925562
BTM_S;20;1000;6;5;-9.47285271327539
BTM_S;20;1000;6;10;-45.11805559706738
BTM_S;20;1000;6;15;-105.65213265507512
BTM_S;20;1000;6;20;-197.7800061444535
BTM_S;20;1000;7;5;-12.257863603722926
BTM_S;20;1000;7;10;-49.44260085403714
BTM_S;20;1000;7;15;-115.44375965567107
BTM_S;20;1000;7;20;-218.86010386192783
BTM_S;20;1000;8;5;-9.756850085592383
BTM_S;20;1000;8;10;-52.58528048823824
BTM_S;20;1000;8;15;-120.3165265235724
BTM_S;20;1000;8;20;-223.8051937272017
BTM_S;20;1000;9;5;-10.58788491580081
BTM_S;20;1000;9;10;-47.54199360902583
BTM_S;20;1000;9;15;-113.59554740835699
BTM_S;20;1000;9;20;-214.6523514799174
BTM_S;30;1000;0;5;-10.797852205290685
BTM_S;30;1000;0;10;-47.94788907767816
BTM_S;30;1000;0;15;-109.37068905220195
BTM_S;30;1000;0;20;-199.7520609117738
BTM_S;30;1000;1;5;-11.148173866514908
BTM_S;30;1000;1;10;-51.36373345169717
BTM_S;30;1000;1;15;-113.54141679119236
BTM_S;30;1000;1;20;-208.90761371307923
BTM_S;30;1000;2;5;-11.319957737446309
BTM_S;30;1000;2;10;-48.77972464780877
