method;corpus;K;iteration;intra;inter;ratio
BTM_S;LOVTAGS;40;8;0.7717351439690009;1.0287195065781567;0.7501900557286346
BTM_S;LOVTAGS;40;9;0.7715552176542441;1.044975233808667;0.738347850448209
BTM_S;LOVTAGS;50;0;0.7953459619783879;1.0612627716908785;0.7494335834575511
BTM_S;LOVTAGS;50;1;0.8058846008890799;1.0741160833138261;0.7502770076794608
BTM_S;LOVTAGS;50;2;0.7933251112908093;1.0556303446174917;0.7515179109201063
BTM_S;LOVTAGS;50;3;0.7950293296058644;1.0693013565213494;0.7435035266318687
BTM_S;LOVTAGS;50;4;0.7908010242528397;1.0604249908527061;0.745739709149011
BTM_S;LOVTAGS;50;5;0.7926109245384572;1.0491749608796292;0.7554611519454596
BTM_S;LOVTAGS;50;6;0.7994121076779552;1.069642608628816;0.7473637467590493
BTM_S;LOVTAGS;50;7;0.8129461879979324;1.081175076678051;0.7519098483991496
BTM_S;LOVTAGS;50;8;0.7973597900605358;1.0667927551233496;0.7474364502675497
BTM_S;LOVTAGS;50;9;0.7920983431621093;1.061093277543227;0.7464926599064621
BTM_S;LOVTAGS;60;0;0.815566655380834;1.0828704381659842;0.7531525717537618
BTM_S;LOVTAGS;60;1;0.8242433125839377;1.0869904504008323;0.7582801783401082
BTM_S;LOVTAGS;60;2;0.8122295696591731;1.0811421968984394;0.751269881047361
BTM_S;LOVTAGS;60;3;0.8317180866217219;1.0917845887064404;0.7617968738752318
BTM_S;LOVTAGS;60;4;0.8295519843715974;1.100523322932359;0.7537795584024927
BTM_S;LOVTAGS;60;5;0.8157898804364939;1.0720422200496933;0.7609680525443101
BTM_S;LOVTAGS;60;6;0.821804156804157;1.0847749154989073;0.7575803469111329
BTM_S;LOVTAGS;60;7;0.8180031823523594;1.0861998650743334;0.7530871699163577
BTM_S;LOVTAGS;60;8;0.821847979927971;1.0850374197778663;0.757437453259652
BTM_S;LOVTAGS;60;9;0.8135754825188359;1.0805645604116823;0.7529170512577918
LDA_S;LOVTAGS;10;0;0.7055756797484686;0.8046913514005808;0.876827716018571
LDA_S;LOVTAGS;10;1;0.6727329139194868;0.7901758478539099;0.8513711419383494
LDA_S;LOVTAGS;10;2;0.6934454952323557;0.8056859338451802;0.8606895889603646
LDA_S;LOVTAGS;10;3;0.7143773059122192;0.814347089889963;0.8772393427583169
LDA_S;LOVTAGS;10;4;0.7154831727510451;0.8249393474856563;0.8673160941247084
LDA_S;LOVTAGS;10;5;0.7024081691329717;0.8043273970606171;0.8732863902185786
LDA_S;LOVTAGS;10;6;0.6892115118208186;0.8013825062988497;0.8600281468632403
LDA_S;LOVTAGS;10;7;0.6995921102153941;0.8110578358524773;0.8625674758201121
LDA_S;LOVTAGS;10;8;0.6962589994643297;0.7974242838979341;0.8731349339662786
LDA_S;LOVTAGS;10;9;0.7093481518256975;0.807734011308865;0.8781952250299062
LDA_S;LOVTAGS;20;0;0.8261890990935751;0.945330956492677;0.8739680991288633
